year,team,conference,rating,ranking,secondOrderWins,sos,offense.ranking,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.ranking,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2024,Ohio State,Big Ten,31.2,1.0,,,3.0,39.5,,,,,,,,,1.0,9.2,,,,,,,,,,0.8
2024,Ole Miss,SEC,27.9,2.0,,,7.0,37.7,,,,,,,,,3.0,11.9,,,,,,,,,,2.1
2024,Oregon,Big Ten,26.0,3.0,,,2.0,40.8,,,,,,,,,14.0,16.3,,,,,,,,,,1.5
2024,Alabama,SEC,25.0,4.0,,,6.0,37.9,,,,,,,,,8.0,14.6,,,,,,,,,,1.7
2024,Penn State,Big Ten,24.6,5.0,,,9.0,37.5,,,,,,,,,4.0,13.1,,,,,,,,,,0.2
2024,Georgia,SEC,24.3,6.0,,,10.0,37.3,,,,,,,,,9.0,14.9,,,,,,,,,,1.9
2024,Texas,SEC,24.1,7.0,,,13.0,36.6,,,,,,,,,2.0,10.8,,,,,,,,,,-1.7
2024,Notre Dame,FBS Independents,23.9,8.0,,,4.0,38.6,,,,,,,,,7.0,14.1,,,,,,,,,,-0.6
2024,Tennessee,SEC,22.0,9.0,,,23.0,33.7,,,,,,,,,6.0,13.5,,,,,,,,,,1.7
2024,Miami,ACC,21.6,10.0,,,1.0,44.2,,,,,,,,,51.0,24.3,,,,,,,,,,1.8
2024,Indiana,Big Ten,20.1,11.0,,,18.0,35.0,,,,,,,,,15.0,16.4,,,,,,,,,,1.5
2024,SMU,ACC,17.5,12.0,,,5.0,38.2,,,,,,,,,30.0,21.1,,,,,,,,,,0.4
2024,Texas A&M,SEC,17.0,13.0,,,21.0,34.0,,,,,,,,,19.0,18.6,,,,,,,,,,1.6
2024,South Carolina,SEC,16.9,14.0,,,35.0,32.1,,,,,,,,,13.0,16.0,,,,,,,,,,0.8
2024,LSU,SEC,15.9,15.0,,,11.0,36.8,,,,,,,,,33.0,21.7,,,,,,,,,,0.8
2024,Iowa,Big Ten,15.8,16.0,,,69.0,27.0,,,,,,,,,5.0,13.3,,,,,,,,,,2.0
2024,BYU,Big 12,15.3,17.0,,,36.0,32.0,,,,,,,,,21.0,18.8,,,,,,,,,,2.0
2024,Kansas State,Big 12,14.1,18.0,,,29.0,33.0,,,,,,,,,25.0,20.4,,,,,,,,,,1.5
2024,Missouri,SEC,14.0,19.0,,,23.0,33.7,,,,,,,,,20.0,18.7,,,,,,,,,,-1.0
2024,Florida,SEC,13.8,20.0,,,37.0,31.7,,,,,,,,,23.0,20.0,,,,,,,,,,2.1
2024,Louisville,ACC,13.6,21.0,,,7.0,37.7,,,,,,,,,40.0,22.9,,,,,,,,,,-1.1
2024,Clemson,ACC,13.3,22.0,,,16.0,35.4,,,,,,,,,26.0,20.9,,,,,,,,,,-1.1
2024,USC,Big Ten,11.9,23.0,,,15.0,35.6,,,,,,,,,48.0,24.0,,,,,,,,,,0.3
2024,Arkansas,SEC,11.0,24.0,,,40.0,31.4,,,,,,,,,33.0,21.7,,,,,,,,,,1.3
2024,TCU,Big 12,10.8,25.0,,,19.0,34.6,,,,,,,,,38.0,22.8,,,,,,,,,,-0.9
2024,Michigan,Big Ten,10.6,26.0,,,93.0,24.1,,,,,,,,,10.0,15.1,,,,,,,,,,1.7
2024,Minnesota,Big Ten,10.4,27.0,,,79.0,25.6,,,,,,,,,11.0,15.4,,,,,,,,,,0.2
2024,Iowa State,Big 12,10.3,28.0,,,44.0,30.8,,,,,,,,,24.0,20.2,,,,,,,,,,-0.3
2024,Boise State,Mountain West,10.1,29.0,,,17.0,35.3,,,,,,,,,50.0,24.2,,,,,,,,,,-1.0
2024,Virginia Tech,ACC,10.0,30.0,,,41.0,31.3,,,,,,,,,36.0,22.4,,,,,,,,,,1.2
2024,Illinois,Big Ten,9.6,31.0,,,55.0,29.0,,,,,,,,,26.0,20.9,,,,,,,,,,1.5
2024,Memphis,American Athletic,9.6,31.0,,,12.0,36.7,,,,,,,,,80.0,28.2,,,,,,,,,,1.0
2024,Auburn,SEC,9.5,33.0,,,63.0,27.9,,,,,,,,,17.0,17.8,,,,,,,,,,-0.6
2024,Oklahoma,SEC,9.5,33.0,,,75.0,25.9,,,,,,,,,17.0,17.8,,,,,,,,,,1.4
2024,Arizona State,Big 12,9.4,35.0,,,32.0,32.4,,,,,,,,,26.0,20.9,,,,,,,,,,-2.1
2024,UNLV,Mountain West,9.3,36.0,,,31.0,32.6,,,,,,,,,55.0,24.6,,,,,,,,,,1.3
2024,Army,American Athletic,9.2,37.0,,,42.0,31.1,,,,,,,,,33.0,21.7,,,,,,,,,,-0.1
2024,Baylor,Big 12,8.4,38.0,,,25.0,33.5,,,,,,,,,63.0,26.2,,,,,,,,,,1.1
2024,Colorado,Big 12,8.1,39.0,,,27.0,33.3,,,,,,,,,45.0,23.5,,,,,,,,,,-1.7
2024,Utah,Big 12,7.7,40.0,,,96.0,23.6,,,,,,,,,16.0,17.2,,,,,,,,,,1.3
2024,James Madison,Sun Belt,7.5,41.0,,,49.0,29.7,,,,,,,,,40.0,22.9,,,,,,,,,,0.7
2024,Rutgers,Big Ten,6.4,42.0,,,58.0,28.5,,,,,,,,,38.0,22.8,,,,,,,,,,0.7
2024,Tulane,American Athletic,5.7,43.0,,,30.0,32.9,,,,,,,,,73.0,27.1,,,,,,,,,,-0.1
2024,Duke,ACC,5.6,44.0,,,71.0,26.7,,,,,,,,,31.0,21.3,,,,,,,,,,0.2
2024,Kentucky,SEC,5.5,45.0,,,88.0,24.5,,,,,,,,,26.0,20.9,,,,,,,,,,2.0
2024,Syracuse,ACC,5.5,45.0,,,14.0,35.8,,,,,,,,,83.0,28.9,,,,,,,,,,-1.3
2024,Nebraska,Big Ten,5.5,45.0,,,99.0,23.1,,,,,,,,,12.0,15.8,,,,,,,,,,-1.8
2024,Texas State,Sun Belt,5.4,48.0,,,20.0,34.2,,,,,,,,,82.0,28.4,,,,,,,,,,-0.4
2024,North Carolina,ACC,5.0,49.0,,,38.0,31.5,,,,,,,,,64.0,26.3,,,,,,,,,,-0.2
2024,Vanderbilt,SEC,4.9,50.0,,,60.0,28.2,,,,,,,,,59.0,25.4,,,,,,,,,,2.0
2024,Pittsburgh,ACC,4.9,50.0,,,54.0,29.3,,,,,,,,,64.0,26.3,,,,,,,,,,1.8
2024,Kansas,Big 12,4.9,50.0,,,32.0,32.4,,,,,,,,,68.0,26.5,,,,,,,,,,-1.0
2024,Louisiana,Sun Belt,4.8,53.0,,,38.0,31.5,,,,,,,,,78.0,27.8,,,,,,,,,,1.1
2024,Texas Tech,Big 12,4.3,54.0,,,25.0,33.5,,,,,,,,,95.0,30.8,,,,,,,,,,1.6
2024,California,ACC,4.0,55.0,,,65.0,27.4,,,,,,,,,40.0,22.9,,,,,,,,,,-0.5
2024,NC State,ACC,3.9,56.0,,,47.0,29.9,,,,,,,,,68.0,26.5,,,,,,,,,,0.5
2024,Navy,American Athletic,3.5,57.0,,,51.0,29.5,,,,,,,,,53.0,24.4,,,,,,,,,,-1.7
2024,Marshall,Sun Belt,3.1,58.0,,,50.0,29.6,,,,,,,,,71.0,26.9,,,,,,,,,,0.4
2024,Washington,Big Ten,3.1,58.0,,,66.0,27.3,,,,,,,,,36.0,22.4,,,,,,,,,,-1.8
2024,Wisconsin,Big Ten,3.0,60.0,,,100.0,23.0,,,,,,,,,22.0,19.8,,,,,,,,,,-0.2
2024,South Alabama,Sun Belt,2.8,61.0,,,47.0,29.9,,,,,,,,,71.0,26.9,,,,,,,,,,-0.2
2024,UCF,Big 12,2.8,61.0,,,55.0,29.0,,,,,,,,,61.0,25.8,,,,,,,,,,-0.4
2024,Ohio,Mid-American,2.3,63.0,,,67.0,27.2,,,,,,,,,47.0,23.9,,,,,,,,,,-0.9
