season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2025,Chance,Graves,CB,Richmond,East Carolina,2025-07-01T13:18:00.000Z,,,Immediate
2025,TJ,Jones,CB,Hawai'i,,2025-04-24T16:22:00.000Z,,2.0,Immediate
2025,Darius,Wallace,LB,Charlotte,,2025-07-28T00:48:12.000Z,,3.0,Withdrawn
2025,Terique,Miles-Parker,EDGE,Norfolk State,,2025-07-28T00:25:30.000Z,,,Withdrawn
2025,Kheagian,Heckaman,TE,Tennessee State,Prairie View A&M,2025-04-18T03:29:00.000Z,,,Immediate
2025,Justus,Boone,EDGE,Florida,Arkansas,2024-12-21T18:15:00.000Z,0.87,3.0,Immediate
2025,Elijah,Gunn,DL,Southern Illinois,Cincinnati,2025-04-23T22:12:00.000Z,0.85,3.0,Immediate
2025,Isaiah,Johnson,WR,Western Carolina,Cincinnati,2025-04-21T17:48:00.000Z,0.87,3.0,Immediate
2025,Isaiah,Rogers,DL,Monmouth,Cincinnati,2025-04-23T01:29:00.000Z,0.84,3.0,Immediate
2025,Mason,Nelson,DL,Western Michigan,Vanderbilt,2025-04-23T21:17:00.000Z,0.86,3.0,Immediate
2025,Osman,Kamara,EDGE,King's College,Robert Morris,2025-06-14T04:21:00.000Z,,,Immediate
2025,Ethan,Torres,S,Washington State,,2025-04-22T00:45:00.000Z,,,Immediate
2025,Kenny,Walz,IOL,East Carolina,Maine,2025-04-30T13:58:00.000Z,,3.0,Immediate
2025,Jaiden,Kimble,LB,Kennesaw State,South Carolina State,2025-05-05T14:29:00.000Z,,,Immediate
2025,Jahvante,Royal,CB,New Mexico,,2025-04-23T00:04:00.000Z,,3.0,Immediate
2025,Dantu,Gardner Jr.,EDGE,Ball State,Butler,2025-05-16T16:10:00.000Z,,2.0,Immediate
2025,Tyler,Strain,CB,Illinois,,2025-05-04T22:22:44.000Z,,3.0,Withdrawn
2025,Nigel,Williams,CB,New Mexico,Louisville,2025-07-03T19:59:00.000Z,0.84,3.0,Immediate
2025,Withchiel,Filamar,EDGE,Louisiana Tech,Texas-Rio Grande Valley,2025-04-26T02:32:00.000Z,,,Immediate
2025,Ben,Gulbranson,QB,Oregon State,Stanford,2025-04-26T01:54:00.000Z,0.86,3.0,Immediate
2025,Max,White,RB,Iowa,Wyoming,2025-05-04T22:59:00.000Z,0.81,3.0,Immediate
2025,Josiah,Kennard,LS,East Texas A&M,James Madison,2024-12-24T17:51:00.000Z,,,Immediate
2025,Dennis,Moody,RB,North Texas,North Texas,2025-02-01T17:02:00.000Z,,,Immediate
2025,Isaiah,Gibson Sr.,DL,Marshall,Southern Miss,2024-12-25T23:31:00.000Z,0.82,3.0,Immediate
2025,Will,O'Steen,OT,Jacksonville State,North Carolina,2025-04-23T18:22:00.000Z,0.86,3.0,Immediate
2025,Darrion,Henry-Young,DL,Kentucky,Coastal Carolina,2025-05-03T00:50:00.000Z,0.86,3.0,Immediate
2025,Matthew,Bess,CB,Iowa State,Houston Christian,2025-04-24T15:37:00.000Z,,2.0,Immediate
2025,Maliki,Crawford,CB,USC,San José State,2025-04-21T05:00:00.000Z,0.85,3.0,Immediate
2025,Buzz,Flabiano,K,UTEP,Eastern Kentucky,2025-05-04T01:52:00.000Z,,2.0,Immediate
2025,Javion,Clark,S,East Carolina,East Tennessee State,2025-04-24T00:43:00.000Z,,3.0,Immediate
2025,Eli,Wallace,EDGE,Sam Houston,,2025-05-10T18:52:19.000Z,,,Withdrawn
2025,Bryce,Dixon,DL,Liberty,,2025-05-26T05:26:39.000Z,,3.0,Withdrawn
2025,Alex,Bray,DL,Illinois,Kansas,2025-04-22T17:49:00.000Z,0.85,3.0,Immediate
2025,Reese,Osei-Wusu,IOL,Lamar,South Alabama,2025-04-19T23:51:00.000Z,0.78,2.0,Immediate
2025,DeKalon,Taylor,RB,Incarnate Word,Colorado,2025-04-24T01:20:00.000Z,0.86,3.0,Immediate
2025,Brian,Nelson II,CB,North Texas,NC State,2025-04-24T01:05:00.000Z,0.88,3.0,Immediate
2025,Ui,Ale,QB,Houston,Troy,2025-04-28T20:06:00.000Z,,,Immediate
2025,Austin,Collins,IOL,Louisville,Syracuse,2025-04-19T21:19:00.000Z,0.86,3.0,Immediate
2025,Daniel,Ogundipe,OT,Florida International,Albany,2025-05-08T13:00:00.000Z,,3.0,Immediate
2025,Mike,Matthews,WR,Tennessee,,2024-12-29T06:00:00.000Z,0.92,4.0,Immediate
2025,Simon,Mapa,TE,California,New Mexico,2025-05-11T04:31:00.000Z,0.82,3.0,Immediate
2025,Jay,Gardenhire,OT,Colorado,,2025-04-19T14:47:00.000Z,,3.0,Immediate
2025,Deaubry,Hood,CB,Arkansas State,Tarleton State,2025-05-23T18:16:00.000Z,,3.0,Immediate
2025,Mason,Starling,WR,California,San José State,2025-04-27T05:00:00.000Z,0.84,3.0,Immediate
2025,Sam,Neely III,CB,Wake Forest,Stanford,2025-04-23T17:03:00.000Z,0.85,3.0,Immediate
